Whistle,Duration,Center_Freq,Low_Freq,Delta_Freq,Max_Freq,Inflections
Constant,1.047,10852.7,7107,9111.6,10163.7,0
Constant,0.85,15676.2,12209.5,7289.3,13092.2,0
Constant,3.541,12575.4,8419.1,12428.2,13436.7,0
Constant,0.736,14298,9476,10205,10852.7,0
Constant,0.274,12058.6,11116.1,4555.8,11886.3,0
Constant,1.626,11197.3,7836,7107,9302.3,0
Constant,4.834,4995.7,1640.1,8018.2,3617.6,0
Constant,0.778,13264.5,11298.3,5649.2,12058.6,0
Constant,0.514,11714.1,9476,5649.2,11714.1,0
Constant,0.632,15159.4,13849.6,4009.1,14987.1,0
Constant,7.298,10680.5,7107,8018.2,12575.4,0
Constant,3.323,12575.4,10569.4,5649.2,11197.3,0
Constant,0.781,12575.4,10048.1,7257,12058.6,0
Constant,1.384,8957.8,6013.6,6560.3,6718.4,0
Constant,0.664,12575.4,10205,5649.2,10680.5,0
Constant,0.442,10680.5,8929.3,5466.9,10680.5,0
Constant,0.647,11541.8,9293.8,4009.1,12058.6,0
Constant,0.556,13953.5,11480.6,5831.4,11714.1,0
Constant,1.094,9819.1,6784.6,6784.6,9819.1,0
Constant,0.851,4823.4,3826.9,2915.7,4823.4,0
Constant,0.545,12747.7,8820,9159.2,11369.5,0
Constant,0.782,6890.6,3465,7875,8785.5,0
Constant,0.537,12403.1,7782.4,11349.3,11197.3,0
Constant,0.305,10335.9,7656.2,8268.8,7752,0
Constant,0.391,10163.7,5102.5,10569.4,6029.3,0
Constant,1.522,10852.7,7107,8747.1,11025,0
Constant,0.35,13609,9450,11025,11369.5,0
Constant,0.8,9474.6,5127.9,13076.2,7579.7,0
Constant,0.202,11025,8564.9,6924.8,8613.3,0
Constant,0.643,7752,2321.1,19728.9,3617.6,0
Constant,0.402,8785.5,1453.8,20596.2,1722.7,0
Constant,3.5,10852.7,3462.4,13302.9,4651.2,0
Constant,5.067,11197.3,4009.1,15702.3,12230.9,0
Constant,5.612,9991.4,5188.2,8647.1,11025,0
Constant,5.846,10680.5,5620.6,11241.2,7062.9,0
Constant,1.184,13436.7,9840.5,7471.5,13781.2,0
Constant,0.784,15503.9,12706.8,5792.8,15503.9,0
Constant,0.947,13264.5,8695.8,11490.8,15676.2,0
Constant,0.471,14125.8,10844.3,6506.6,13953.5,0
Constant,0.684,13953.5,10742.3,8480.8,17915.6,0
Constant,0.958,13436.7,12209.5,2733.5,13436.7,0
Constant,1.43,13609,10584,9114,13609,0
Constant,0.729,9474.6,8599.5,2866.5,8957.8,0
Constant,0.6,12919.9,10751.7,5102.5,15331.6,0
Constant,0.983,13264.5,11515,6615,13264.5,0
Constant,0.376,20327.3,16800,5250,20327.3,0
Constant,0.312,12575.4,10387.2,5466.9,11714.1,0
Constant,0.64,10163.7,8929.3,3462.4,9819.1,0
Constant,0.947,9302.3,5400,8550,6029.3,0
Constant,1.353,4134.4,3528,8820,3617.6,0
Constant,1.94,11541.8,9840.5,4738,11197.3,0
Constant,1.061,10508.2,4725,17325,6718.4,0
Constant,1.25,14298,9840.5,9476,14125.8,0
Constant,3.416,12575.4,8268.8,11714.1,8268.8,0
Constant,0.759,12747.7,9840.5,7836,11541.8,0
Constant,1.049,10335.9,5991.8,9587,12058.6,0
Constant,0.684,14814.8,11845,8382.6,14125.8,0
Constant,1.233,11541.8,7764.1,10248.6,7924.2,0
Constant,2.051,12403.1,8782.6,8408.9,11886.3,0
Constant,1.428,12919.9,6533.3,13066.7,7062.9,0
Constant,0.708,12919.9,9587,9107.6,12230.9,0
Constant,1.648,9991.4,5512.5,9284.2,9819.1,0
Constant,0.961,9819.1,4009.1,18040.9,6029.3,0
Constant,0.979,11369.5,6757.3,11380.6,8613.3,0
Constant,0.404,11197.3,10022.7,3280.2,10508.2,0
Constant,0.553,11369.5,8929.3,5831.4,12747.7,0
Constant,0.883,8613.3,6560.3,4373.6,8613.3,0
Constant,0.501,10508.2,8564.9,4555.8,10508.2,0
Constant,0.122,11886.3,10606.3,2791.1,11541.8,0
Constant,0.324,13264.5,8929.3,10751.7,9474.6,0
Constant,1.53,15503.9,11907,8158.5,12919.9,0
Constant,0.516,11369.5,7441.9,12403.1,8441,0
Constant,0.661,11714.1,5250,16800,16365.2,0
Constant,0.692,13609,9712.5,12075,10852.7,0
Constant,0.423,13609,7105,14455,16709.8,0
Constant,1.122,12747.7,8747.1,10387.2,8957.8,0
Constant,0.942,12230.9,7350,14291.7,8785.5,0
Constant,0.906,16193,15023.1,5088.5,16020.7,0
Constant,0.648,15159.4,13667.4,3826.9,16193,0
Constant,1.222,15159.4,12495,7840,13436.7,0
Constant,0.522,13092.2,9658.3,10387.2,13092.2,0
Constant,0.71,10508.2,6013.6,13667.4,7752,0
Constant,0.865,9991.4,5649.2,16400.8,7062.9,0
Constant,1.571,15159.4,10321.3,11728.7,17398.8,0
Constant,1.828,11714.1,6582.1,15467.9,12919.9,0
Constant,0.064,12575.4,8885.8,7898.5,12575.4,0
Constant,0.43,12058.6,8227.6,9873.1,11886.3,0
Constant,0.326,13092.2,5600,16450,14125.8,0
Constant,1.071,7924.2,2795.1,19254.9,2928.5,0
Constant,0.788,12058.6,9293.8,7471.5,9819.1,0
Constant,0.771,11025,8747.1,7653.7,8785.5,0
Constant,0.165,11025,9310,4900,10852.7,0
