ID,X3,X4,X5,X6,X11,X12,X13,X14,X15,Y
2063,17.2,3,397,273,3.5,50.3,0.93,1.58,6.04,2.8
2064,20.1,2.7,302,331,3.3,34.5,2.95,2.16,9.49,3.8
2065,16.7,3.57,283,353,3,42,1.05,1.7,11.9,6.81
2066,16.3,3.3,324,375,2.5,35.6,2.17,2.52,8.19,5
2067,20.1,2.7,303,388,3.5,32.8,1.02,0.84,11.96,6.6
2068,17,3.45,328,356,3.3,47.1,3.59,2.56,9.11,5.35
2069,15,2.5,300,300,2.7,40.8,1.69,0.81,9.98,2.9
2070,17.6,3.6,330,374,3.5,53.3,1.51,1.63,11.56,5.6
2071,16.4,3.78,284,353,4,47,1.05,1.7,11.9,6.48
2072,19.3,4.2,459,368,2.5,41.2,0.66,1.42,9.01,5.4
2073,15.7,4.7,422,372,3,41.2,1.89,1.22,9.11,4.7
2074,17.8,4.5,438,371,2.5,40.1,0.89,1.14,7.35,5.3
2075,15.8,1.3,323,360,3,19.6,0.96,2.13,9.32,2.9
2076,23.5,2.6,336,359,3.5,49.5,0.71,2.56,8.67,3.8
2077,15.7,3.1,350,346,3.5,53.7,1.32,1.84,8.56,4.05
2078,15.5,2.3,320,375,2,27.4,2.17,2.52,8.19,3.8
2079,16.1,2.8,304,364,2.5,37.6,1.15,0.98,11.57,6.1
2080,15.2,4,366,355,2,46,1.34,1.83,8.27,5.45
2081,15.3,3.78,322,366,3,23.6,0.99,1.07,10.15,6.26
2082,15.2,4.5,465,219,2.5,47.4,1.49,0.84,8.76,2.1
2083,16.2,3.3,307,364,2.5,31.4,1.15,0.98,11.57,7.2
2084,24.2,3.49,285,354,4,55,1.05,1.7,11.9,6.74
2085,26,3.1,440,371,3,41.6,0.89,1.14,7.35,4.9
2086,13.8,1.5,325,360,3,24.2,0.96,2.13,9.32,3.2
2087,26.4,4.2,423,372,3,54.6,1.89,1.22,9.11,3.6
2088,15.3,3.2,465,371,2.5,34.6,0.72,1.49,9.77,4
2089,14.8,2.3,327,359,3,22.2,0.96,2.17,9.29,3.5
2090,18.9,5.2,418,359,2.5,49.6,1.91,1.57,9.96,4.1
2091,17.7,3.2,299,366,3,41.4,0.81,1.84,14.3,5.6
2092,16.5,3.8,306,352,3,48,1.53,2.27,12.85,6.3
2093,14.4,1.6,322,360,3.5,20.2,0.96,2.13,9.32,2.7
2094,23.1,2.6,371,273,3.5,35.8,0.96,1.18,6.14,3.5
2095,18,5.4,471,363,2.5,48.8,1.67,1.09,9.02,4.4
2096,18.5,4.8,423,359,2.5,51.2,1.91,1.57,9.96,5
2097,16.3,3.8,339,348,3,40,1.42,1.05,11.78,6.2
2098,15.7,3,394,274,3,44.3,0.93,1.58,6.09,2.9
2099,14.2,2.4,320,375,3,43.1,0.72,2.6,8.92,5.2
2100,14.6,2.3,317,375,4,59.3,0.72,2.6,8.92,3.8
2101,18.4,2.8,332,359,3.5,49.7,0.71,2.56,8.67,4.4
2102,18.6,5,468,363,2.5,41.6,1.67,1.09,9.02,4.2
2103,14.8,5.4,466,368,3,51.2,0.66,1.42,9.01,4.4
2104,14.3,2.6,374,270,2.5,35.6,0.96,1.18,6.14,2.7
2105,18.2,2.6,336,351,3,29.2,2.1,2.15,8.28,4.1
2106,16,3,394,273,3.5,40.2,0.96,1.18,6.14,2.7
2107,18.3,4.1,465,366,2.5,42.6,1.49,0.84,8.76,3.2
2108,18.6,7.2,463,219,3.5,62.2,1.49,0.84,8.76,2.7
2109,23.2,1.8,326,372,2.5,22.4,0.96,2.13,9.32,3.8
2110,18.1,3.39,282,353,3,40,1.05,1.7,11.9,6.61
2111,18.1,3.8,361,299,3,46.1,1.61,1.19,10.43,5.9
2112,13.7,2.3,299,388,3,35.5,1.02,0.84,11.96,6.3
2113,23,3.05,373,355,4,55.9,1.34,1.83,8.27,5.25
2114,16.7,4.5,423,372,3,44,1.89,1.22,9.11,4.3
2115,21.7,2.5,392,274,4,57.5,0.93,1.58,6.15,2.8
2116,20.2,3.37,285,354,4,56,1.05,1.7,11.9,5.37
2117,22.3,4.8,464,366,3,50,1.49,0.84,8.76,3
2118,18,3.3,281,353,3.5,52.7,2.39,2.98,10.05,6
2119,17.7,2.3,325,368,3,33.5,1.02,1.06,12.3,5.8
2120,15.2,2.89,318,362,4,40,0.93,1.04,10.75,6.579
2121,18.2,5.8,291,362,3.5,37.1,1.29,1.54,11.22,11.44
2122,17.1,2.2,394,279,3,43.3,0.93,1.58,6.04,2.8
2123,14.2,5.9,475,363,3,57.2,1.67,1.09,9.02,5.4
2124,24.2,3.56,311,369,4,56.5,2.47,3.12,10.22,4.601
2125,16.5,2.8,325,356,3,44,3.59,2.56,9.11,5.2
2126,17.2,4.82,287,353,3,46,1.05,1.7,11.9,8.18
2127,21.4,1.8,323,372,3,41.5,0.96,2.13,9.32,4.1
2128,14.8,4.3,456,368,2.5,34.2,0.66,1.42,9.01,4.4
2129,16.9,4.15,406,321,3.7,55.1,0.97,1.41,7.21,3.35
2130,16.2,5.4,417,359,2.5,54.4,1.91,1.57,9.96,4.5
2131,15.7,3.75,405,321,3.7,55.3,0.97,1.41,7.21,3.8
2132,15.2,4.2,296,370,3.5,52.5,1.68,2.17,13.4,6.2
2133,14.5,2.7,366,355,3.5,30,1.34,1.83,8.27,2.55
2134,14.5,2.93,324,349,2,25.1,1.18,1.52,10.82,6.033
2135,25.2,2.5,376,274,4,58.7,0.93,1.58,6.15,2.7
2136,18.9,4.35,333,349,3,41.5,3.62,2.63,9.14,5.95
2137,15.3,2.7,325,356,3.3,46.9,3.59,2.56,9.11,4.15
2138,15.6,4,306,364,3,45.2,1.15,0.98,11.57,7.4
2139,19.6,4.6,417,359,2.5,52.6,1.91,1.57,9.96,3.9
2140,17.7,6.2,471,363,2.5,37.4,1.67,1.09,9.02,5.6
2141,16.6,4.1,289,379,3,48,0.99,1.09,11.11,8.4
2142,16.4,3.6,325,356,3.5,51.7,3.59,2.56,9.11,5.85
2143,25.9,4.2,428,372,3,52,1.89,1.22,9.11,3.4
2144,19.1,3.68,287,354,3.5,52,1.05,1.7,11.9,6.22
2145,15.7,2.05,319,366,3,18.4,0.99,1.07,10.15,4.03
2146,23.5,4.38,317,365,3.5,49.1,1.9,2.2,10.06,5.5934
2147,14.2,2.8,334,352,3,32.4,2.1,2.15,8.28,4.2
2148,18.1,3.6,332,374,3.5,53.1,1.51,1.63,11.56,6.5
2149,18.3,4.9,426,372,3,43,1.89,1.22,9.11,4.7
2150,18.5,5.2,460,368,3,48.2,0.66,1.42,9.01,5
2151,17,4.1,308,352,2.5,45.6,1.53,2.27,12.85,6.3
2152,23.6,3.9,293,380,3.5,53,0.99,1.09,11.11,7.3
2153,15.2,2.78,324,366,3,25.2,0.99,1.07,10.15,5.62
2154,19.5,3.85,372,355,3.5,48.6,1.34,1.83,8.27,3.7
2155,15.4,3.2,404,357,3,68.3,0.97,1.41,7.21,5.5
2156,30.7,4.1,427,372,3,53.4,1.89,1.22,9.11,3.6
2157,15.9,1.9,335,351,3,27,2.1,2.15,8.28,2.8
2158,17.2,4.5,469,363,2.5,41.6,1.67,1.09,9.02,5
2159,22.1,2.4,421,359,3,63.6,1.91,1.57,9.96,2
2160,19.3,5.4,462,368,2.5,36.4,0.66,1.42,9.01,4
2161,15.6,1.7,334,352,3,31.2,2.1,2.15,8.28,3.3
2162,18.4,3.8,300,370,3,45.7,1.68,2.1,13.38,9.8
2163,17.2,4,327,369,2,36,1.02,1.06,12.3,8.2
2164,15.8,3.4,324,366,3,24.8,0.99,1.07,10.15,4.55
2165,16.6,4.9,471,363,2.5,38.6,1.67,1.09,9.02,6.2
2166,27.9,2.8,289,380,3.5,52,0.99,1.09,11.11,5.4
2167,15.1,2.84,321,366,3,21.1,0.99,1.07,10.15,5.81
2168,17.9,5.2,307,354,3.5,48.4,0.86,1.53,13.78,9.8
2169,21,1.6,330,361,2.5,27.2,2.15,2.23,8.8,3.1
2170,15.1,2.9,326,375,2,31.2,2.17,2.52,8.19,4.6
2171,18.1,2.87,278,374,3.5,43.2,1.76,2.76,11.06,5.4
2172,26.2,3.4,323,343,3,41.7,1.98,1.28,9.8,5
2173,13.8,2.2,323,359,3.5,20.8,0.96,2.17,9.29,4.4
2174,15.9,3.4,366,355,2,35.8,1.34,1.83,8.27,4.6
2175,17.2,2.3,372,279,3.5,53.5,0.93,1.58,6.09,2.8
2176,22.3,3.9,426,372,3,50.2,1.89,1.22,9.11,4.2
2177,16.4,3,397,270,3.5,39,0.96,1.18,6.14,3.3
2178,15.8,3.5,462,371,2.5,37.4,0.72,1.49,9.77,5
2179,15.3,2.2,376,274,3.5,50.5,0.93,1.58,6.09,2.2
2180,16.8,4.8,422,359,2.5,58,1.91,1.57,9.96,4.2
2181,15.2,3.7,306,354,3.5,54.8,0.86,1.53,13.78,7.7
2182,14.6,1.7,323,372,3,25.4,0.96,2.13,9.32,3.4
2183,26.6,3.5,397,274,3.5,49.1,0.93,1.58,6.15,3.1
2184,15.8,2.8,371,270,3.5,38.8,0.96,1.18,6.14,2.8
2185,15.4,2.8,326,369,2.5,32,1.02,1.06,12.3,7.5
2186,17.3,2.1,320,375,4.5,64.7,0.72,2.6,8.92,5.2
2187,16.2,2.8,297,373,4,62.1,1.8,2.54,8.43,4.6
2188,15.7,5.3,297,366,2.7,54.4,0.81,1.84,14.3,9.8
2189,24.7,3.92,317,365,3.5,49.1,1.9,2.2,10.06,5.7849
2190,18.5,5.2,460,368,3,45.2,0.66,1.42,9.01,3.4
2191,15.8,2.5,332,359,4,55.9,0.71,2.56,8.67,4.4
2192,17.9,6.4,303,352,3,58.2,1.53,2.27,12.85,6.5
2193,24.1,5.2,342,348,3,51,1.42,1.05,11.78,6.2
2194,16.9,2.7,303,300,3,43.3,1.69,0.81,9.98,2.6
2195,15.4,2.5,307,364,3,34.8,1.15,0.98,11.57,5.5
2196,17.9,5,457,368,2.5,37.8,0.66,1.42,9.01,4.7
2197,20.4,2.92,323,367,3,38.9,0.99,1.07,10.15,3.83
2198,15.4,2.9,367,355,3.3,37.8,1.34,1.83,8.27,3.95
2199,17.3,2.2,370,279,3,45.1,0.93,1.58,6.09,2.6
2200,17.3,2.85,329,356,3.5,51.6,3.59,2.56,9.11,4.9
2201,24.6,3.5,425,372,3,44.5,1.89,1.22,9.11,3.8
2202,21.3,4.4,463,368,3,39,0.66,1.42,9.01,4.5
2203,16.2,3.2,395,270,3,35.6,0.96,1.18,6.14,3.4
2204,17.5,3.7,330,374,3.5,53.1,1.51,1.63,11.56,6.5
2205,14.6,3.33,325,349,2,25,1.18,1.52,10.82,4.598
2206,24.6,2.7,396,274,3.5,47.9,0.93,1.58,6.15,2.6
2207,16.7,4.2,417,359,3,58.2,1.91,1.57,9.96,3.6
2208,15.6,5.6,466,219,3,51.8,1.49,0.84,8.76,2.1
2209,15.8,3,340,348,3,30.6,1.42,1.05,11.78,4.8
2210,16.4,2.96,327,350,2,24.4,1.18,1.54,10.82,5.375
2211,25.4,2.9,301,331,3.7,45.5,2.95,2.16,9.49,3.7
2212,15.5,4.09,284,353,3,45,1.05,1.7,11.9,7.13
2213,15.3,2.6,394,273,3.5,34.2,0.96,1.18,6.14,4
2214,14.6,1.8,374,273,2.5,29.2,0.96,1.18,6.14,3.2
2215,25,5.1,345,348,4.5,52.5,1.42,1.05,11.78,5.2
2216,16.7,2.8,394,279,3,43.5,0.93,1.58,6.04,2.7
2217,14,1.5,327,359,3,21,0.96,2.17,9.29,2.5
2218,15.2,4.68,314,370,3.5,53.5,1.91,2.19,10.11,7.439
2219,14.9,2.1,302,300,3.3,47.1,1.69,0.81,9.98,2.3
2220,23.1,4.56,287,354,3.5,52,1.05,1.7,11.9,6.45
2221,21.5,2.8,398,273,4,41.2,0.96,1.18,6.14,2.9
2222,14.9,2.64,318,366,3.5,22.8,0.99,1.07,10.15,5.25
2223,16.3,2.2,390,279,3,42.1,0.93,1.58,6.09,2.9
2224,17.4,2.1,322,375,4,61.3,0.72,2.6,8.92,4.2
2225,14.7,1.4,372,273,2.5,24,0.96,1.18,6.14,3.3
2226,12.8,5.3,459,368,2.5,42.6,0.66,1.42,9.01,4.6
2227,24.3,2.7,305,300,3,43.7,1.69,0.81,9.98,2.4
2228,22.3,2.9,323,371,3,34.8,2.15,2.51,8.28,4.3
2229,16.3,4.2,304,354,3.5,46,0.86,1.53,13.78,9.7
2230,15.8,4.6,476,371,2.5,38,0.72,1.49,9.77,6
2231,19.7,5,420,359,2.5,56,1.91,1.57,9.96,3.8
2232,15.1,3.2,391,273,2.5,39.6,0.96,1.18,6.14,3.4
2233,13.9,2,297,373,4,61.9,1.8,2.54,8.43,4
2234,16.9,3.2,398,278,3,42.6,0.93,1.58,6.04,3.2
2235,16,3.6,320,343,2.5,40.1,1.98,1.28,9.8,5.8
2236,15.6,4,293,362,4,47.2,1.29,1.54,11.22,6.63
2237,16.6,3.7,288,379,2.5,37,0.99,1.09,11.11,8
2238,18.5,3.5,314,414,2.7,36.6,1.59,1.09,8.54,6.5
2239,26.7,4.2,340,348,4.5,51.5,1.42,1.05,11.78,4.4
2240,15.6,3.2,417,359,2.5,47.8,1.91,1.57,9.96,3.3
2241,18.1,3.6,436,371,2.5,40.1,0.89,1.14,7.35,5.2
2242,22.7,2,304,300,3.3,46.5,1.69,0.81,9.98,1.8
2243,18.1,4,418,359,2.5,58.6,1.91,1.57,9.96,3.5
2244,19.9,3,372,273,3,36.6,0.96,1.18,6.14,3.9
2245,16.5,2.3,378,280,3.5,50.7,0.93,1.58,6.09,3.2
2246,15.8,6.4,461,219,2.5,50.8,1.49,0.84,8.76,3.2
2247,17.6,4.4,363,299,3,46.1,1.61,1.19,10.43,5
2248,24.3,3.27,288,354,3.5,51,1.05,1.7,11.9,5.44
2249,16.4,2.39,322,366,3,27,0.99,1.07,10.15,4.99
2250,17.7,4.1,466,371,2.5,38.2,0.72,1.49,9.77,5.8
2251,15.8,3.5,341,349,2.5,36.8,1.43,1.08,11.78,8.3
2252,20.3,1.1,325,361,2.5,27,2.15,2.23,8.8,2.8
2253,16.9,4.2,281,353,4,50,1.05,1.7,11.9,6.14
2254,20.4,3.5,396,274,3.5,49.3,0.93,1.58,6.15,3.1
2255,15.6,2.6,396,279,3,43.6,0.93,1.58,6.04,2.8
2256,16.6,3.4,289,379,3,39,0.99,1.09,11.11,7.8
2257,19,3.8,361,299,3.5,54.3,1.61,1.19,10.43,5.4
2258,19.9,1.7,326,372,2.5,20.4,0.96,2.13,9.32,2.4
2259,21.2,5.6,463,366,2.5,45.6,1.49,0.84,8.76,4.5
2260,22.9,4.1,406,321,3.7,54.9,0.97,1.41,7.21,4.05
2261,12.8,5.1,464,368,4,55,0.66,1.42,9.01,4.6
2262,16.4,3.56,328,349,2,25.3,1.18,1.52,10.82,6.194
2263,17.7,4,424,359,2.5,53.4,1.91,1.57,9.96,3.5
2264,26.2,4.6,428,359,3,60,1.91,1.57,9.96,4
2265,25.4,4,316,415,2.5,46,1.6,1.09,8.52,5.4
2266,16.4,4.2,332,374,3,45.3,1.51,1.63,11.56,6.6
2267,20.3,4.9,298,365,3,53,0.81,1.84,14.3,9.3
2268,18.1,2,301,300,2.7,41.1,1.69,0.81,9.98,1.5
2269,16.7,4.3,458,368,2.5,39.4,0.66,1.42,9.01,4.9
2270,17.7,2.48,282,353,3,40,1.05,1.7,11.9,4.97
2271,19.5,3.9,291,379,3,48,0.99,1.09,11.11,8.5
2272,21.3,2.2,375,273,3,34.8,0.96,1.18,6.14,4.1
2273,16.3,1.9,336,352,3,27.2,2.1,2.15,8.28,3.3
2274,16.7,5.3,460,219,2.5,42.8,1.49,0.84,8.76,2.3
2275,19.5,2.5,328,367,3.5,41.6,1.02,1.07,12.31,6
2276,15.3,1.4,318,375,4,59.5,0.72,2.6,8.92,3.8
2277,16.9,4.1,317,343,2.7,40.9,1.98,1.28,9.8,6.3
2278,18.3,2.6,296,376,4,60.7,1.78,2.59,8.48,5
2279,17.9,4.3,438,371,2.3,39.5,0.89,1.14,7.35,6.5
2280,23.6,4,335,374,3,41.5,1.51,1.63,11.56,6.1
2281,16.6,4,467,371,2.5,39.4,0.72,1.49,9.77,4.9
2282,17.6,4.3,281,353,3.5,52.1,2.39,2.98,10.05,8.5
2283,17.6,5.6,438,371,3,44.1,0.89,1.14,7.35,6.8
2284,15.5,4.2,438,371,3,42.6,0.89,1.14,7.35,7
2285,16.9,4.5,294,366,2.5,51,0.81,1.84,14.3,9.9
2286,25.3,2.8,443,371,2.7,40.5,0.89,1.14,7.35,3.9
2287,17.7,2.6,296,373,3.5,49.9,1.8,2.54,8.43,3.8
2288,24,3.8,328,368,3.5,51.6,1.02,1.07,12.31,4.9
2289,16.9,3.69,284,354,3,48,1.05,1.7,11.9,5.58
2290,18.4,5.8,463,219,3.5,67.4,1.49,0.84,8.76,2
2291,14.4,2.89,326,338,2.5,27.8,1.18,1.54,10.82,4.947
2292,14.8,3.05,405,357,3,70.3,0.97,1.41,7.21,3.65
2293,15.7,2.85,367,355,3.3,34,1.34,1.83,8.27,3.55
2294,17.2,2,317,375,3,43.1,0.72,2.6,8.92,6
2295,17.8,2.8,316,362,3.5,35.6,0.93,1.04,10.75,6.766
2296,18.3,4.9,306,352,3,50.2,1.53,2.27,12.85,8.2
2297,21.1,3.8,420,359,3,62.2,1.91,1.57,9.96,3.6
2298,20.3,3.8,427,359,2.5,56.2,1.91,1.57,9.96,4.8
2299,19.2,3.9,287,379,3,47,0.99,1.09,11.11,8.7
2300,18.9,5.1,299,370,3.5,53.1,1.68,2.17,13.4,8.7
2301,16.3,3.5,303,388,3.5,37.1,1.02,0.84,11.96,6.9
2302,20.9,2.5,281,358,4,60.9,2.36,2.98,10.01,4
2303,16.1,1.75,370,355,2.7,39.8,1.34,1.83,8.27,3.95
2304,26.4,3.1,333,359,4,56.7,0.71,2.56,8.67,4.4
2305,22.7,2.4,305,300,2.7,40.7,1.69,0.81,9.98,2.9
2306,14.6,2.86,322,366,3.5,27.7,0.99,1.07,10.15,4.69
2307,17,5,478,363,2.5,36.8,1.67,1.09,9.02,4.6
2308,18.5,3.7,458,368,2.5,36.6,0.66,1.42,9.01,5.2
2309,16.5,3,298,373,4,60.1,1.8,2.54,8.43,6
2310,28.4,3.7,446,366,3.3,46.7,0.94,1.14,7.26,4.4
2311,15,3,335,351,3,25.8,2.1,2.15,8.28,3.8
2312,15.7,3.95,403,321,3,43.1,0.97,1.41,7.21,4.05
2313,18.2,2.6,285,353,3.5,53.3,2.39,2.98,10.05,5.03
2314,18.6,2.6,305,354,3.5,34.6,0.86,1.53,13.78,6.5
2315,17.1,4.8,291,361,3.5,43.3,1.29,1.54,11.22,9.31
2316,15,3.75,312,370,2.5,40.3,1.91,2.19,10.11,7.088
2317,18.2,4.2,302,354,3.5,41.8,0.86,1.53,13.78,9.3
2318,18.6,3.35,328,356,3.3,46.7,3.59,2.56,9.11,4.75
2319,17.4,3.8,424,359,2.5,44,1.91,1.57,9.96,3.3
2320,18.8,3.2,374,281,4,61.7,0.93,1.58,6.15,3.5
2321,17.1,2.2,325,375,2,26.6,2.17,2.52,8.19,3.9
2322,25.2,4.4,459,368,2.5,33.8,0.66,1.42,9.01,4.1
2323,21.4,2.8,294,376,4,61.3,1.78,2.59,8.48,4
2324,15.5,3.2,332,351,3,29.8,2.1,2.15,8.28,4.3
2325,24.4,5.5,478,363,3,52.2,1.67,1.09,9.02,4.2
2326,15,2.2,393,270,3.5,33,0.96,1.18,6.14,3.7
2327,17.3,4.2,340,349,2,34.2,1.43,1.08,11.78,8.4
2328,19.5,3.5,291,379,3.5,55.5,0.99,1.09,11.11,7.1
2329,15.4,3.3,396,279,3.5,50.3,0.93,1.58,6.04,2.9
2330,14.6,1.6,323,359,3,19,0.96,2.17,9.29,2.5
2331,16.4,3.34,326,350,3,38.9,1.18,1.54,10.82,5.111
2332,19.1,3.6,328,356,3.7,55.1,3.59,2.56,9.11,5
2333,25.8,3.6,294,361,3,45.8,1.29,1.54,11.22,6.26
2334,18.3,3.57,312,370,3,41.5,2.46,3.13,10.22,4.8
2335,18.8,5.2,299,370,3,45.1,1.68,2.17,13.4,8.3
2336,13.6,3.1,319,375,2,30.6,2.17,2.52,8.19,4.5
2337,21.2,4.4,422,359,2.5,51.6,1.91,1.57,9.96,4.3
2338,17.5,3.05,356,346,3.5,53.7,1.32,1.84,8.56,2.7
2339,14.9,3.7,299,370,3,44.7,1.68,2.17,13.4,6.1
2340,15.7,1.5,322,360,3,23,0.96,2.13,9.32,3.6
2341,24.2,4.9,422,372,3.5,61,1.89,1.22,9.11,3.6
2342,13.6,2.51,326,337,2.5,30.5,1.18,1.52,10.82,4.627
2343,25.2,2.4,400,270,2.5,33,0.96,1.18,6.14,3.7
2344,14.7,1.86,319,366,3,24.7,0.99,1.07,10.15,3.44
2345,17.4,4.5,351,346,3,41.5,1.32,1.84,8.56,5.5
2346,24.6,3.6,424,372,3.5,47.9,1.89,1.22,9.11,4.2
2347,17.7,5.1,306,351,3,41.9,1.54,2.32,12.85,6.2
2348,25.5,3.91,287,354,3.5,45,1.05,1.7,11.9,7.44
2349,27.2,4.5,291,380,3,60,0.99,1.09,11.11,7.3
2350,16,3,374,280,3.5,51.1,0.93,1.58,6.09,3.8
2351,20,3.25,335,349,2.5,39.7,3.62,2.63,9.14,5.7
2352,15.9,3.06,322,350,2.5,29.1,1.18,1.54,10.82,5.131
2353,18.6,3.2,376,279,3,44.9,0.93,1.58,6.09,3.6
2354,15.5,2.9,311,364,3,38.4,1.15,0.98,11.57,5.8
2355,14.2,2.5,321,375,2,24.2,2.17,2.52,8.19,3.7
2356,14.9,2.1,321,359,2.5,21.8,0.96,2.17,9.29,4.2
2357,23.8,2.6,324,371,3,41,2.15,2.51,8.28,3.5
2358,15.6,2.8,375,279,3.5,50.5,0.93,1.58,6.09,3.1
2359,18,5.5,300,370,3,44.6,1.68,2.17,13.4,8
2360,17.9,3.3,304,354,3,43,0.86,1.53,13.78,7.2
2361,15.9,1.5,339,351,3,25.2,2.1,2.15,8.28,3.1
2362,16.2,2.3,319,375,3.5,52.5,0.72,2.6,8.92,3.6
2363,16,2.6,293,376,4,56.1,1.78,2.59,8.48,4.4
2364,17.6,6.1,458,366,2.5,46.4,1.49,0.84,8.76,4.6
2365,19,4.7,299,370,3,43.1,1.68,2.17,13.4,7.2
2366,21.2,3,373,274,4,58.5,0.93,1.58,6.15,3.2
2367,17.7,3.1,320,362,2.5,38.2,0.93,1.04,10.75,7.556
2368,17.8,3.3,306,354,3.5,41.2,0.86,1.53,13.78,7.2
2369,22.1,2.85,332,349,2.7,40.5,3.62,2.63,9.14,3.65
2370,17,3,376,280,3.5,51.9,0.93,1.58,6.09,3.7
2371,14.2,2,376,273,2.5,26.6,0.96,1.18,6.14,4
2372,13.9,2.5,334,351,2.5,28.6,2.1,2.15,8.28,4.2
2373,17.1,2.7,286,353,3.5,50.3,2.39,2.98,10.05,5.7
2374,25.1,3.4,306,300,3.3,47.1,1.69,0.81,9.98,3.1
2375,16.3,5.5,461,368,3,44.8,0.66,1.42,9.01,6.8
2376,19.1,4.3,308,354,3,44.2,0.86,1.53,13.78,10.4
2377,15.1,3.4,305,388,3.5,33.6,1.02,0.84,11.96,7.4
2378,17.5,3.1,307,354,3.5,42,0.86,1.53,13.78,7.2
2379,22.2,2.65,369,355,4,55.6,1.34,1.83,8.27,3.4
2380,18,5,422,359,3,59.8,1.91,1.57,9.96,3.9
2381,15.9,2.2,334,351,3,32.2,2.1,2.15,8.28,3.4
2382,14.9,1.8,324,359,3,23.2,0.96,2.17,9.29,3.7
2383,17.3,2.75,325,349,2.5,31.1,1.18,1.52,10.82,4.294
2384,21.4,3.38,322,367,2,37.5,0.99,1.07,10.15,4.08
2385,16.8,4.4,473,371,2.5,36.2,0.72,1.49,9.77,5.2
2386,14.9,2.6,298,373,4,59.9,1.8,2.54,8.43,4
2387,19.2,2.6,378,281,4,57.5,0.93,1.58,6.15,2.8
2388,16.7,3.6,398,270,2.5,36.4,0.96,1.18,6.14,3.3
2389,17.3,3.6,324,368,2.5,34.5,1.02,1.06,12.3,8.8
2390,20.3,4.8,425,359,2.5,39.9,1.91,1.57,9.96,4.7
2391,24.4,4.19,325,367,2.5,41.5,0.99,1.07,10.15,4.99
2392,16.6,4.2,465,368,4,50.4,0.66,1.42,9.01,3.4
2393,14.9,3.4,302,388,3,25.2,1.02,0.84,11.96,7.3
2394,18.8,4.4,417,359,2.5,48.2,1.91,1.57,9.96,4
2395,20.6,3.7,328,368,4,42.8,1.02,1.07,12.31,5.1
2396,18.2,2.2,293,376,4.5,65.5,1.78,2.59,8.48,2.4
2397,21.3,5.3,463,368,2,47.4,0.66,1.42,9.01,4.5
2398,18.6,4.06,316,365,3,43.1,1.9,2.2,10.06,5.3056
2399,17,3.8,314,414,2.7,31.4,1.59,1.09,8.54,8
2400,20.4,4.15,371,355,3.7,54.7,1.34,1.83,8.27,4.1
2401,25.6,4.8,475,363,2.5,46,1.67,1.09,9.02,6
2402,15.5,3.1,395,278,3,43.7,0.93,1.58,6.04,3
2403,16.9,2.8,372,279,3,42.7,0.93,1.58,6.09,3.4
2404,16.4,2.8,391,270,3.5,34.6,0.96,1.18,6.14,3.9
2405,15.1,2.6,371,270,3,36.2,0.96,1.18,6.14,3.2
2406,12.8,3.7,355,346,3.7,54.7,1.32,1.84,8.56,5.05
2407,20.3,4.3,322,343,3,42.7,1.98,1.28,9.8,7.5
2408,16.4,4.7,299,370,3,42.3,1.68,2.17,13.4,8
2409,16.4,3.8,307,354,3,38.2,0.86,1.53,13.78,8
2410,25,3.9,425,372,3.5,58.6,1.89,1.22,9.11,4.3
2411,19.9,3.8,416,359,3,60.6,1.91,1.57,9.96,4.1
2412,16.3,2,304,300,3,44.5,1.69,0.81,9.98,2.2
2413,17.3,3.15,354,346,3.7,54.7,1.32,1.84,8.56,5.15
2414,17,4.7,299,365,2.7,44.8,0.81,1.84,14.3,9
2415,12.8,5.9,457,368,2.5,37.6,0.66,1.42,9.01,5.6
2416,19.1,4,417,359,2.5,54.6,1.91,1.57,9.96,4.6
2417,14,1.96,318,362,3.5,35.2,0.93,1.04,10.75,5.2982
2418,15.1,3.6,467,371,2.5,36.6,0.72,1.49,9.77,5.2
2419,30.1,4.4,425,372,2.5,56.6,1.89,1.22,9.11,4.2
2420,17,4.9,304,352,2.7,46.2,1.53,2.27,12.85,5.9
2421,13.3,2.5,376,280,3.5,50.7,0.93,1.58,6.09,2.2
2422,16.9,5.6,420,372,3,41.6,1.89,1.22,9.11,5.6
2423,18.1,6.4,428,359,2.5,53.4,1.91,1.57,9.96,5.3
2424,16.4,2.75,332,349,2.5,39.6,3.62,2.63,9.14,4.35
2425,17.9,3.8,459,368,2.5,41.2,0.66,1.42,9.01,5.1
2426,17.5,3.7,350,346,3,45.3,1.32,1.84,8.56,6.03
2427,17.8,5,301,370,3,45.5,1.68,2.1,13.38,7.9
2428,16.7,4.86,309,370,3.5,53.5,1.91,2.19,10.11,7.015
2429,15.9,5.9,462,366,3,62.2,1.49,0.84,8.76,4
2430,20.4,2.9,369,355,3.7,54.5,1.34,1.83,8.27,3.4
2431,24.2,3.2,392,274,4,57.1,0.93,1.58,6.15,3.2
2432,16.4,3.7,307,388,3.5,34.4,1.02,0.84,11.96,7
2433,16.9,4,327,374,3.5,49.9,1.51,1.63,11.56,6.5
2434,21.3,3.8,458,368,3,38.6,0.66,1.42,9.01,3.3
2435,14.2,2.8,296,373,3,44.1,1.8,2.54,8.43,5.2
2436,23.7,3.2,336,359,2.5,39.6,0.71,2.56,8.67,4.8
2437,29.1,4,417,359,2.5,60.6,1.91,1.57,9.96,4
