ID,X3,X4,X5,X6,X11,X12,X13,X14,X15,Y
635,19.7,3.4,287,379,3,43.5,0.99,1.09,11.11,6.6
636,16.6,4.6,289,362,3.5,41.8,1.29,1.54,11.22,8.22
637,27,3.7,397,274,4,57.5,0.93,1.58,6.15,3.2
638,15.1,2.3,335,351,3,29.2,2.1,2.15,8.28,3.7
639,14.2,5.5,458,368,2.5,41.4,0.66,1.42,9.01,4.5
640,15,4.1,319,343,2.5,40.3,1.98,1.28,9.8,7
641,16.7,3.3,323,369,3,35.5,1.02,1.06,12.3,6.7
642,13.5,1.7,320,360,3,25.4,0.96,2.13,9.32,4.2
643,15.3,2.6,375,279,3,43.5,0.93,1.58,6.09,2.6
644,15.6,4.7,294,366,3,56,0.81,1.84,14.3,7.9
645,15.8,2.4,308,364,3,35.2,1.15,0.98,11.57,6.3
646,16,4,322,369,3.5,38,1.02,1.06,12.3,7.2
647,19.7,5.2,424,359,2.5,57.2,1.91,1.57,9.96,5
648,13.6,4.3,461,368,3.5,50.6,0.66,1.42,9.01,3.8
649,18.8,4.4,361,299,3,46.1,1.61,1.19,10.43,5.6
650,13.2,2.6,300,373,3.5,53.5,1.8,2.54,8.43,4.6
651,15.3,3.8,289,379,2,43,0.99,1.09,11.11,8.7
652,19.2,3.6,417,359,2.5,44.4,1.91,1.57,9.96,3.2
653,14.7,1.9,338,351,3,26.2,2.1,2.15,8.28,3.2
654,15.5,2.5,466,371,2.5,34.4,0.72,1.49,9.77,4.5
655,16.8,3.3,305,352,2.7,45.8,1.53,2.27,12.85,4.8
656,16.7,3.18,327,349,2.5,32.8,1.18,1.52,10.82,4.925
657,27,3.7,426,372,2.5,49.4,1.89,1.22,9.11,4
658,17,3.08,313,370,4,58.1,1.91,2.19,10.11,4.7587
659,19.3,4.7,296,366,3,58.8,0.81,1.84,14.3,8.8
660,14.4,3.25,351,346,3.5,49.9,1.32,1.84,8.56,5.1
661,20.9,2,328,361,3,33.4,2.15,2.23,8.8,2.9
662,18.3,4,420,372,2.5,40.4,1.89,1.22,9.11,3.9
663,25,5.2,479,363,2.5,43.6,1.67,1.09,9.02,3.6
664,16.1,2.7,396,279,3,43.6,0.93,1.58,6.09,2.9
665,16.3,3.14,323,366,3.5,28.7,0.99,1.07,10.15,5.55
666,16.2,2.55,325,356,3.3,47.1,3.59,2.56,9.11,3.95
667,15.5,2.8,321,343,2.7,41.1,1.98,1.28,9.8,4.4
668,12.8,4.7,461,368,2.5,32.2,0.66,1.42,9.01,4.7
669,16.4,2.25,314,362,3.5,36.6,0.93,1.04,10.75,6.315
670,14.8,2.8,395,270,3.5,38,0.96,1.18,6.14,3
671,13.6,5.7,461,368,3,46,0.66,1.42,9.01,6
672,15.2,1.7,325,368,1.5,20.5,1.02,1.06,12.3,4.4
673,14.9,2.4,297,373,3.5,50.1,1.8,2.54,8.43,3.4
674,19.4,5.6,462,368,3,40.2,0.66,1.42,9.01,4.6
675,14.9,3.39,322,366,3,24.7,0.99,1.07,10.15,5.85
676,25,2.8,397,273,3.5,43.4,0.96,1.18,6.14,3.2
677,16.4,3.39,277,374,3.5,47.4,1.76,2.76,11.06,5.4
678,18.3,2,326,372,3,33.4,0.96,2.13,9.32,3.3
679,25,4.2,297,376,4.5,66.9,1.78,2.59,8.48,4.6
680,17,3.7,396,281,3.5,53.6,0.93,1.58,6.15,3.9
681,18.2,5.2,420,359,2.5,53.8,1.91,1.57,9.96,3.9
682,23.9,4.3,327,349,3,48.5,1.18,1.52,10.82,5.224
683,16.4,5.7,471,363,2.5,34.8,1.67,1.09,9.02,4
684,17.2,3.8,300,366,3,46.6,0.81,1.84,14.3,7.3
685,16.4,3.4,375,270,3,35.4,0.96,1.18,6.14,3.8
686,13.8,1.7,338,352,2,23.4,2.1,2.15,8.28,2.5
687,17.6,3.3,434,371,2.3,39.5,0.89,1.14,7.35,4.9
688,15.8,2.7,333,351,2.5,29.6,2.1,2.15,8.28,4
689,16.7,3.8,299,365,3,49,0.81,1.84,14.3,8.4
690,17.5,1.4,333,359,3,42.8,0.71,2.56,8.67,2.6
691,17,2.6,323,369,3,38,1.02,1.04,12.31,5.7
692,17.7,3.2,339,349,3,31,1.43,1.08,11.78,6.3
693,16.9,2.5,377,275,3.5,50.1,0.93,1.58,6.15,3.3
694,18.1,3.3,314,362,3.5,48,0.93,1.04,10.75,4.7876
695,17.3,2.2,299,300,3,42.6,1.69,0.81,9.98,2
696,14.7,2.8,374,273,3,33.6,0.96,1.18,6.14,4
697,18.7,3.2,341,348,4,43,1.42,1.05,11.78,6.1
698,21.3,2.6,374,273,3.5,36.4,0.96,1.18,6.14,3.9
699,14.7,2.55,370,355,3,35.4,1.34,1.83,8.27,3.6
700,25.1,4.8,425,372,2.5,44.4,1.89,1.22,9.11,4.3
701,19.4,3.6,290,379,3,41.5,0.99,1.09,11.11,6.9
702,15.2,3.01,323,366,3,36.4,0.99,1.07,10.15,4.67
703,16.6,1.9,325,359,2.5,25.2,0.96,2.17,9.29,3.9
704,15.8,2,335,351,3,32,2.1,2.15,8.28,3.1
705,15.6,2.2,321,375,2.5,28.6,2.17,2.52,8.19,3.4
706,20.2,3.34,327,349,3,35.2,1.18,1.52,10.82,4.275
707,18.2,4.9,464,368,4,45.4,0.66,1.42,9.01,4.1
708,15.8,4,420,359,3,56,1.91,1.57,9.96,4
709,14.8,3.44,321,338,2.5,29,1.18,1.54,10.82,5.779
710,18,2.3,333,359,3.5,48.1,0.71,2.56,8.67,4.6
711,29.4,3.68,288,354,3,50,1.05,1.7,11.9,5.03
712,22.7,3.1,376,274,4,56.7,0.93,1.58,6.15,3.3
713,15.7,2.5,288,379,2,40.5,0.99,1.09,11.11,7.6
714,16.4,3.7,284,353,3,42.6,2.39,2.98,10.05,6.34
715,16.3,5.5,461,368,3,39.2,0.66,1.42,9.01,5.3
716,12.9,2.2,334,351,2.5,23.8,2.1,2.15,8.28,4.1
717,24,2.5,321,371,3,30.2,2.15,2.51,8.28,3.9
718,14.1,2.6,306,364,2.5,32.2,1.15,0.98,11.57,8.2
719,15.9,4.35,405,321,3.3,46.5,0.97,1.41,7.21,4.25
720,22,3.4,397,273,4,46.4,0.96,1.18,6.14,2.9
721,24.6,3.6,398,274,4,61.3,0.93,1.58,6.15,3.3
722,16.9,3.2,360,299,3,46.1,1.61,1.19,10.43,4.8
723,15.2,1.9,370,279,3,42.1,0.93,1.58,6.09,2.6
724,16.1,1.1,324,372,3,25.6,0.96,2.13,9.32,2.6
725,17.8,5.4,463,366,2.5,52.2,1.49,0.84,8.76,4.2
726,14.6,1,325,360,3,19.6,0.96,2.13,9.32,2.2
727,15.5,4.3,296,371,3.3,47.1,1.68,2.17,13.4,6.4
728,15.2,3.6,326,369,3.5,49,1.02,1.06,12.3,8.1
